# id,course_code,course_title,course_credit,prerequisite,exclusion,corequisite

244,COMP 4621,Computer Communication Networks I,3 Credit(s),COMP 3511,"COMP 5621, ELEC 4120, ISOM 3180",""
245,COMP 4622,Computer Communication Networks II,3 Credit(s),COMP 4621 or ELEC 4120,COMP 5621,""
246,COMP 4631,Computer and Communication Security,3 Credit(s),COMP 3711 OR COMP 3711H,COMP 5631,""
247,COMP 4632,Practicing Cybersecurity: Attacks and Counter-measures,3 Credit(s),COMP 2012 OR COMP 2012H,"",COMP 3511
248,COMP 4641,Social Information Network Analysis and Engineering,3 Credit(s),(COMP 2011 OR COMP 2012H) AND MATH 2111 AND (ELEC 2600 OR IELM 2510 OR MATH 2411 OR MATH 2421 OR MATH 2431),"",""
249,COMP 4651,Cloud Computing and Big Data Systems,3 Credit(s),COMP 2011 OR COMP 2012H,"",""
250,COMP 4900,Academic and Professional Development,0 Credit(s),"","",""
251,COMP 4901,Special Topics in Computer Science,1-4 Credit(s),"","",""
252,COMP 4911,IT Entrepreneurship,3 Credit(s),COMP 2011 OR COMP 2012H,ELEC 3710,""
253,COMP 4971,Independent Work,1-4 Credit(s),"","",""
254,COMP 4981,Final Year Project,6 Credit(s),"",COMP 4981H,""
255,COMP 4981H,Final Year Thesis,6 Credit(s),"",COMP 4981,""
256,COMP 4982,Final Year Project,7 Credit(s),"",COMP 4982H,""
257,COMP 4982H,Final Year Thesis (Honors Study Track),7 Credit(s),"",COMP 4982,""
258,COMP 4988,Computer Engineering Final Year Project,6 Credit(s),"","",""
259,COMP 4989,Computer Engineering Final Year Thesis,6 Credit(s),"","",""
260,COMP 4991,Computer Engineering Final Year Project,8 Credit(s),"","",""
261,COMP 4992,Computer Engineering Final Year Thesis,8 Credit(s),"","",""
262,CPEG 1971,Industrial Experience,0 Credit(s),"","",""
263,CPEG 2930,Academic and Professional Development I,0 Credit(s),"","",""
264,CPEG 3930,Academic and Professional Development II,0 Credit(s),"","",""
265,ECON 1503,"Big Problems in Economics: Issues, Ideas, and Principles",3 Credit(s),"","",""
266,ECON 2000,Country Reports,3 Credit(s),"","",""
267,ECON 2103,Principles of Microeconomics,3 Credit(s),"","ECON 2113, ECON 2913 (prior to 2013-14), ECON 3113, ECON 3133, SOSC 1440, a passing grade in HKAL Economics, Level 3 or above in HKDSE Economics",""
268,ECON 2113,Microeconomics,3 Credit(s),Grade C/D/E in HKAL Economics OR level 3 or above in HKDSE Economics,"ECON 2103, ECON 2913 (prior to 2013-14), ECON 3113, ECON 3133, SOSC 1440, a passing grade in AL Business and Economics, grade B or above in HKAL Economics",""
269,ECON 2123,Macroeconomics,3 Credit(s),"","ECON 3123, ECON 3143, SOSC 1440",""
270,ECON 2152,Engineering Economics and Finance,2 Credit(s),"",IELM 3230,""
271,ECON 2174,Mathematics for Economists,4 Credit(s),MATH 1003 OR MATH 1012 OR MATH 1013 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1023; OR grade D or above in AL Applied Mathematics/Pure Mathematics,"MATH 2010 (prior to 2013-14), MATH 2011, MATH 2021 (prior to 2013-14), MATH 2023",""
272,ECON 2310,Introductory Environmental and Health Economics,3 Credit(s),"","",""
273,ECON 3014,Managerial Microeconomics,4 Credit(s),"One of ECON 2103, ECON 2113 or ECON 2913 (prior to 2013-14)","ECON 3113, ECON 3133",""
274,ECON 3024,Managerial Macroeconomics,4 Credit(s),ECON 2123,"ECON 3123, ECON 3143",""
275,ECON 3113,Microeconomic Theory I,4 Credit(s),ECON 2103 OR ECON 2113,"ECON 3014, SOSC 1440",""
276,ECON 3123,Macroeconomic Theory I,3 Credit(s),"","ECON 2123, ECON 3024, SOSC 102I, SOSC 1440",""
277,ECON 3133,Microeconomic Theory II,4 Credit(s),ECON 3113,"ECON 2913 (prior to 2013-14), ECON 3014, SOSC 1440",""
278,ECON 3143,Macroeconomic Theory II,4 Credit(s),ECON 3123,"ECON 2123, ECON 3024, SOSC 102I, SOSC 1440",""
279,ECON 3334,Introduction to Econometrics,4 Credit(s),"One of ISOM 2500, MATH 2411 or MATH 3423","",""
280,ECON 4114,Industrial Organization and Competitive Strategy,4 Credit(s),ECON 3014 OR ECON 3113,"",""
281,ECON 4124,Applied Game Theory,4 Credit(s),ECON 2103 OR ECON 2113,MATH 4321,""
282,ECON 4204,China's Economic Transformation,3 Credit(s),"One of ECON 2103, ECON 2113, ECON 2913 (prior to 2013-14) or ECON 3113, and ECON 2123 or ECON 3123","SOSC 2230 (prior to 2013-14), SOSC 4260",""
283,ECON 4234,Labor Economics and Human Resources,4 Credit(s),One of ECON 3113 or ECON 3014,"",""
284,ECON 4254,Law and Economics,4 Credit(s),(ECON 3014 OR ECON 3133) AND (MATH 1003 OR MATH 1012 OR MATH 1013 OR MATH 1023),"",""
285,ECON 4274,Programming Econometrics with R,3 Credit(s),ECON 3334,"",""
286,ECON 4284,Econometrics for Cross-Section and Panel Data,4 Credit(s),ECON 3334,"",""
287,ECON 4304,Time Series Econometrics and Business Forecasting,4 Credit(s),ECON 3334 OR MATH 4422 OR MATH 4424,"ISOM 4540, MATH 4425",""
288,ECON 4334,Money and Banking,4 Credit(s),ECON 2123 or ECON 3123,ECON 5350,""
289,ECON 4364,International Trade and Investment,4 Credit(s),(ECON 3014 OR ECON 3113) AND (ECON 2123 OR ECON 3123),"ECON 4354 (prior to 2013-14), ECON 4384",""
290,ECON 4374,International Macroeconomics and Finance,4 Credit(s),(ECON 3014 AND ECON 3024) OR (ECON 3113 AND ECON 3123),"ECON 4354 (prior to 2013-14), ECON 4384",""
291,ECON 4384,"Globalization: Trade, Investment and Exchange Rate",4 Credit(s),(ECON 2103 OR ECON 2113 OR ECON 2913 (prior to 2013-14) OR ECON 3113) AND (ECON 2123 OR ECON 3123),"ECON 4354 (prior to 2013-14), ECON 4364, ECON 4374, ECON 399H, SOSC 200D, SOSC 200E",""
292,ECON 4394,Financial Macroeconomics,4 Credit(s),(ECON 2123 OR ECON 3123) AND ECON 3334 AND (ECON 2174 OR MATH 1014 OR MATH 1020 OR MATH 1024),MATH 4512,""
293,ECON 4434,Economic Development and Growth,4 Credit(s),ECON 3014 or ECON 3133,"",""
294,ECON 4474,Hong Kong's Economy,4 Credit(s),"One of ECON 2103, ECON 2113, ECON 2913 (prior to 2013-14) or ECON 3113, and ECON 2123 or ECON 3123","",""
295,ECON 4584,Topics in Economic Growth,4 Credit(s),Grade B or above in {[ECON 3133 AND ECON 3143] OR [ECON 3014 AND ECON 3024 AND (MATH 1012 OR MATH 1013)]},"",""
296,ECON 4670,Economics Research and Communication,0 Credit(s),"","",""
297,ECON 4959,Independent Study,1-4 Credit(s),"","",""
298,ECON 4999,Special Topics in Economics,1-4 Credit(s),"","",""
299,ELEC 1010,Electronic and Information Technology,3 Credit(s),"","",""
300,ELEC 1020,Media Production: Technology and Design,3 Credit(s),"",ELEC 4170,""
301,ELEC 1100,Introduction to Electro-Robot Design,4 Credit(s),"","",""
302,ELEC 1200,A System View of Communications: from Signals to Packets,4 Credit(s),"","",(COMP 1004 (prior to 2013-14) OR COMP 1021 OR COMP 1022P OR COMP 1022Q) AND (MATH 1003 OR MATH 1014 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1024)
303,ELEC 1970,Industrial Training,0 Credit(s),"","",""
304,ELEC 1980,Industrial Training,0 Credit(s),"","",""
305,ELEC 1990,Industrial Training,0 Credit(s),"","",""
306,ELEC 1991,Industrial Experience (Electronic Engineering),0 Credit(s),"","",""
307,ELEC 2100,Signals and Systems,4 Credit(s),ELEC 1200 AND (MATH 2011 OR MATH 2023 OR MATH 2111 OR MATH 2350 OR MATH 2351 OR MATH 2352),"",""
308,ELEC 2100H,Honors Signals and Systems,4 Credit(s),(ELEC 1100 OR ELEC 1200 OR ELEC 2400 OR ELEC 2410 (prior 2016-17)) AND Grade A- or above in (MATH 2011 OR MATH 2023 OR MATH 2111 OR MATH 2350 OR MATH 2351 OR MATH 2352),ELEC 2100,""
309,ELEC 2200,Digital Circuits and Systems,4 Credit(s),ELEC 1100 OR ELEC 1200,"",""
310,ELEC 2300,Computer Organization,4 Credit(s),"",COMP 2611,ELEC 2200
311,ELEC 2400,Electronic Circuits,4 Credit(s),ELEC 1100 AND (MATH 1003 OR MATH 1014 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1024),"ELEC 2410 (prior to 2016-17), ELEC 2420",PHYS 1114 OR PHYS 1154 (prior to 2014-15) OR PHYS 1314
312,ELEC 2420,Basic Electronics,3 Credit(s),MATH 1014 OR MATH 1020 OR MATH 1024,"ELEC 2400, ELEC 2410 (prior to 2016-17)",PHYS 1111 OR PHYS 1112 OR PHYS 1152 (prior to 2014-15) OR PHYS 1312
313,ELEC 2500,Introduction to Smart Electric Power Systems,3 Credit(s),ELEC 1100 OR PHYS 1114 OR PHYS 1314,"",""
314,ELEC 2600,Probability and Random Processes in Engineering,4 Credit(s),A passing grade in AL Pure Mathematics OR MATH 1003 OR MATH 1014 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1024,"ELEC 2600H, MATH 2421",MATH 2011 OR MATH 2023
315,ELEC 2600H,Honors Probability and Random Processes in Engineering,4 Credit(s),Grade A- or above in MATH 1014 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1024,"ELEC 2600, MATH 2421",MATH 2011 OR MATH 2023
316,ELEC 2910,Academic and Professional Development I,0 Credit(s),"","",""
317,ELEC 3100,Signal Processing and Communications,4 Credit(s),(ELEC 2100 OR ELEC 2100H) AND (ELEC 2600 OR ELEC 2600H),"",""
318,ELEC 3200,"System Modeling, Analysis and Control",4 Credit(s),(ELEC 2100 OR ELEC 2100H) AND MATH 2111 AND MATH 2351,"CENG 4120, MECH 3610",""
319,ELEC 3300,Introduction to Embedded Systems,4 Credit(s),COMP 2611 or ELEC 2300,"",""
320,ELEC 3400,Introduction to Integrated Circuits and Systems,4 Credit(s),ELEC 2200; and ELEC 2400 or ELEC 2410 (prior to 2016-17),"",""
321,ELEC 3500,Microelectronic Devices and Technology,4 Credit(s),(Level 3 or above in HKDSE 1/2x or 1x Chemistry OR a passing grade in HKCEE Chemistry OR CHEM 1001 OR CHEM 1004) AND (ELEC 2400 OR ELEC 2410 (prior to 2016-17)),"",""
322,ELEC 3600,Electromagnetics: From Wireless to Photonic Applications,4 Credit(s),(MATH 2011 OR MATH 2023) AND MATH 2351 AND PHYS 1114,"",""
323,ELEC 3710,Hi-Tech Entrepreneurship,3 Credit(s),"","",""
324,ELEC 3910,Academic and Professional Development II,0 Credit(s),"","",""
325,ELEC 4010,Special Topics,1-4 Credit(s),"","",""
326,ELEC 4110,Digital Communications and Wireless Systems,3 Credit(s),ELEC 3100,"",""
327,ELEC 4120,Computer Communication Networks,3 Credit(s),(COMP 1021 OR COMP 1022P OR COMP 1022Q) AND (ELEC 2100 OR ELEC 2400 OR ELEC 2600),COMP 4621,""
328,ELEC 4130,Digital Image Processing,3 Credit(s),ELEC 3100 AND MATH 2111,"COMP 4421, MATH 4336",""
329,ELEC 4140,Speech and Image Compression,3 Credit(s),ELEC 3100,"",""
330,ELEC 4150,Information Theory and Error-Correcting Codes,3 Credit(s),ELEC 2100,"",""
331,ELEC 4160,Introduction to Digital Speech Recognition,4 Credit(s),(COMP 1021 OR COMP 1022P OR COMP 1022Q) AND ELEC 3100,"",COMP 1029C OR COMP 1029J OR COMP 1029P
332,ELEC 4170,Digital Media and Multimedia Applications,4 Credit(s),(COMP 1021 OR COMP 1022P OR COMP 1022Q) AND ELEC 2100,COMP 4431,""
333,ELEC 4220,Introduction to Robotics: From Mobile Robots to Manipulators,4 Credit(s),ELEC 3200,"",""
334,ELEC 4310,Embedded System Design,4 Credit(s),ELEC 2300,"",""
335,ELEC 4320,FPGA-based Design: From Theory to Practice,3 Credit(s),ELEC 2300,"",""
336,ELEC 4330,"Mobile Embedded Systems: Hardware Platform, Software Development, and Applications",3 Credit(s),ELEC 2300,"",ELEC 3300
337,ELEC 4410,CMOS VLSI Design,3 Credit(s),ELEC 2200,"",""
338,ELEC 4420,Analogue Integrated Circuits Design and Analysis,4 Credit(s),ELEC 3400,"",""
339,ELEC 4430,Integrated Power Electronics,3 Credit(s),ELEC 3400,"",""
340,ELEC 4510,Semiconductor Materials and Devices,3 Credit(s),ELEC 3500,"",""
341,ELEC 4520,Integrated Circuit Fabrication Technology,3 Credit(s),ELEC 3500,"",""
342,ELEC 4530,Fundamentals of Photovoltaic and Renewable Energy,3 Credit(s),ELEC 3500,"",""
343,ELEC 4610,Engineering Optics,4 Credit(s),ELEC 2400,PHYS 3038,""
344,ELEC 4620,Photonics and Optical Communications,4 Credit(s),ELEC 3600,"",""
345,ELEC 4630,Radio Frequency Engineering,4 Credit(s),ELEC 3600,"",""
346,ELEC 4810,Introduction to Biosensors and Bioinstrumentation,4 Credit(s),ELEC 2200 AND ELEC 2400,"",""
347,ELEC 4820,Medical Imaging,3 Credit(s),ELEC 2100 AND MATH 2011 AND MATH 2111,"",""
348,ELEC 4900,Final Year Design Project,6 Credit(s),"","",""
349,ELEC 4901,Final Year Thesis,6 Credit(s),"","",""
350,ELEC 4903,Computer Engineering Final Year Project,8 Credit(s),"","",""
351,ELEC 4904,Computer Engineering Final Year Thesis,8 Credit(s),"","",""
352,ELEC 4907,Final Year Project,9 Credit(s),"","",""
353,ELEC 4908,Final Year Thesis,9 Credit(s),"","",""
354,ELEC 4909,Final Year Project in Entrepreneurship,9 Credit(s),"","",""
355,ELEC 4918,Computer Engineering Final Year Project,6 Credit(s),"","",""
356,ELEC 4919,Computer Engineering Final Year Thesis,6 Credit(s),"","",""
357,ELEC 4930,Academic and Professional Development III,0 Credit(s),"","",""
358,ELEC 4940,Independent Study,1-3 Credit(s),"","",""
359,ELEC 4950,Research Work Experience,0 Credit(s),"","",""
360,ENGG 1010,Academic Orientation,0 Credit(s),"","",""
361,ENGG 1100,First Year Cornerstone Engineering Design Project Course,3 Credit(s),"",ENGG 1200,""
362,ENGG 1110,Engineering Solutions to Grand Challenges of the 21st Century,3 Credit(s),"","",""
363,ENGG 1130,The Impact and Value of Technology Innovation,3 Credit(s),"","",""
364,ENGG 1150,"Information Technology Revolution: Past, Present and Future",3 Credit(s),"","",""
365,ENGG 1200,Engineering Team Design Experience: Airship,3 Credit(s),"","",""
366,ENGG 1900,Service Learning Program,1 Credit(s),"","",""
367,ENGG 2010,Engineering Seminar Series,0 Credit(s),"","",""
368,ENGG 2201,The Law of Contract,6 Credit(s),"","",""
369,ENGG 2900,Community Services Project,1-4 Credit(s),"","",""
370,ENGG 2990,Special Topics,1-3 Credit(s),"","",""
371,ENGG 2991-2993,Undergraduate Student-initiated Experiential Learning,1-3 Credit(s),"","",""
372,ENGG 3000,Legal Perspective of Engineering Practice and Operation,3 Credit(s),"","",""
373,ENGG 3960,Robotics Special Project,1-4 Credit(s),"","",""
374,ENGG 4901,Integrated Final Year Project - First Major,3 Credit(s),"","",ENGG 4902
375,ENGG 4902,Integrated Final Year Project - Second Major,3 Credit(s),"","",ENGG 4901
376,ENGG 4903,Integrated Final Year Thesis - First Major,3 Credit(s),"","",ENGG 4904
377,ENGG 4904,Integrated Final Year Thesis - Second Major,3 Credit(s),"","",ENGG 4903
378,ENGG 4950,Engineering Special Project,1-4 Credit(s),"","",""
379,ENTR 2010,Entrepreneurship Seminars and Readings,1 Credit(s),"","",""
380,ENTR 3010,Structured Mentoring: Inspiring Leadership,3 Credit(s),"","",""
381,ENTR 3020,Identifying Innovation Opportunities,3 Credit(s),"","",""
382,ENTR 3030,Social Innovations and Entrepreneurship,3 Credit(s),"","",""
383,ENTR 3100,Industrial Landscape: Understanding the Elements to Start a Business,3 Credit(s),"","",""
384,ENTR 4000,Special Topics in Entrepreneurship,1-4 Credit(s),"","",""
385,ENTR 4901-4904,Student-led Entrepreneurship Acceleration Project,1-4 Credit(s),"","",""
386,ENVR 1001,EVMT Orientation,0 Credit(s),"","",""
387,ENVR 1030,Environment and Health,3 Credit(s),"","",""
388,ENVR 1040,The Environment and Society - A Comprehensive Perspective,3 Credit(s),"","",""
389,ENVR 1050,The Sustainable Citizen,3 Credit(s),"","",""
390,ENVR 1070,Thinking Big: Systems Thinking for Environmental Problems,3 Credit(s),"","",""
391,ENVR 1080,The Smart Consumer - Uncovering the Hidden Story behind the Product Label,3 Credit(s),"","",""
392,ENVR 1170,"Big History, Sustainability and Climate Change",3 Credit(s),"","",""
393,ENVR 1811,Environmental Management and Technology Study Trip I,1 Credit(s),"","",""
394,ENVR 2001,Academic and Professional Development I,1 Credit(s),"","",""
395,ENVR 2002,Special Topics in Environmental Studies,1-4 Credit(s),"","",""
396,ENVR 2010,Environmental Science Fundamentals,3 Credit(s),"","",""
397,ENVR 2020,Urban Air Pollution,3 Credit(s),"","",""
398,ENVR 2030,Material and Energy Balance for Environmental Management,3 Credit(s),"","CENG 2010 (prior to 2016-17), CENG 2110",""
399,ENVR 2310,Introductory Environmental and Health Economics,3 Credit(s),"","",""
400,ENVR 2811,Environmental Management and Technology Study Trip II,1 Credit(s),"","",""
401,ENVR 2900,Internship/Service Learning,1 Credit(s),"","",""
402,ENVR 3001,Academic and Professional Development II,1 Credit(s),ENVR 2001,"",""
403,ENVR 3002,Introduction to Atmospheric Science,3 Credit(s),(CIVL 1140 OR ENVR 2010 OR LIFS 1030 OR PHYS 1003) AND (MATH 1003 OR MATH 1013 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1023),ENVS 2003,""
404,ENVR 3003,Green Buildings and Energy Efficiency,3 Credit(s),"","",""
405,ENVR 3010,Special Topics in Environmental Studies,1-4 Credit(s),"","",""
406,ENVR 3110,Sustainable Development,3 Credit(s),CIVL 1170 OR ENVR 1170,SOSC 3180 (prior to 2013-14),""
407,ENVR 3210,Environmental Technology,3 Credit(s),ENVR 2010 AND ENVR 2030,CIVL 2410,""
408,ENVR 3220,Energy Resources and Usage,3 Credit(s),"","",""
409,ENVR 3310,Green Business Strategy,3 Credit(s),"",MGMT 3160,""
410,ENVR 3410,Economics for Environmental Policy and Management,3 Credit(s),ECON 2103 OR ECON 2113 OR ECON 2913 (prior to 2013-14) OR ECON 3113,"",""
411,ENVR 3420,Environmental Law and Regulations,3 Credit(s),"","",""
412,ENVR 4000,Special Topics in Environmental Studies,1-4 Credit(s),"","",""
413,ENVR 4001,Academic and Professional Development III,1 Credit(s),ENVR 2001 and ENVR 3001,"",""
414,ENVR 4010,Independent Study in Environment Issues,1-4 Credit(s),"","",""
415,ENVR 4220,Urban and Regional Planning,3 Credit(s),"","",""
416,ENVR 4310,Green Innovation and Entrepreneurship,3 Credit(s),ENVR 3110,"",""
417,ENVR 4320,ESG Management and Reporting,3 Credit(s),"","",""
418,ENVR 4330,Environmental Geographical Information System,3 Credit(s),"","",""
419,ENVR 4800,Environmental Management and Technology Seminar,1 Credit(s),"","",""
420,ENVR 4980,Environmental Management and Technology Capstone Project I,3 Credit(s),"","",""
421,ENVR 4990,Environmental Management and Technology Capstone Project II,3 Credit(s),ENVR 4980,"",""
422,ENVS 2001,Environmental Conservation and Sustainability in Practice,1 Credit(s),"","",""
423,ENVS 2002,Environmental Internship,2-4 Credit(s),"","",""
424,ENVS 2003,Introduction to Atmospheric Science,3 Credit(s),MATH 1003 OR MATH 1012 OR MATH 1013 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1023,"",""
425,ENVS 2004,Introduction to Ocean Science,3 Credit(s),LIFS 1030 OR PHYS 1003,"",""
426,ENVS 3001,Pollution Monitoring and Measurement,3 Credit(s),CHEM 1030 OR CHEM 2311,"",""
427,ENVS 3004,Global Climate Change,3 Credit(s),ENVS 2003 AND ENVS 2004,"",""
428,ENVS 3005,Environmental Microbiology,3 Credit(s),LIFS 1030 OR LIFS 2060,"",""
429,ENVS 4001,Environmental Impact and Risk Assessment,3 Credit(s),CHEM 1030 OR LIFS 1030,"",""
430,ENVS 4012,Special Topics in Environmental Science,1-3 Credit(s),"","",""
431,ENVS 4301,Environmental Conservation,3 Credit(s),LIFS 2060 AND LIFS 3160,LIFS 5300 (prior to 2013-14),""
432,ENVS 4905,Marine Molecular Biology and Ecology,3 Credit(s),LIFS 3130,"",""
433,ENVS 4964,Environmental Science Capstone Project Research,3 Credit(s),"","",LANG 4016
434,ENVS 4974,Environmental Science Project Research I,3 Credit(s),"","",""
435,ENVS 4984,Environmental Science Project Research II,4 Credit(s),ENVS 4974,"",LANG 4016
436,FINA 1203,Personal Finance,3 Credit(s),"","FINA 2203, FINA 2303",""
437,FINA 1303,Introduction to Financial Markets,3 Credit(s),"","",""
438,FINA 2102,Introduction to Finance,2 Credit(s),"","",""
439,FINA 2203,Fundamentals of Business Finance,3 Credit(s),"",FINA 2303,""
440,FINA 2303,Financial Management,3 Credit(s),ACCT 2010 and ISOM 2500,FINA 2203,""
441,FINA 3001,Key Skills for Finance Professionals (A),1 Credit(s),"","",""
442,FINA 3011,Key Skills for Finance Professionals (B),1 Credit(s),"","",""
443,FINA 3103,Intermediate Investments,3 Credit(s),FINA 2203 or FINA 2303,FINA 3103H,""
444,FINA 3103H,Honors Intermediate Investments,3 Credit(s),FINA 2303,FINA 3103,""
445,FINA 3203,Derivative Securities,3 Credit(s),FINA 3103,FINA 3203H,""
446,FINA 3203H,Honors Derivative Securities,3 Credit(s),FINA 3103H,FINA 3203,""
447,FINA 3303,Intermediate Corporate Finance,3 Credit(s),FINA 2203 OR FINA 2303,FINA 3303H,""
448,FINA 3303H,Honors Intermediate Corporate Finance,3 Credit(s),FINA 2303,FINA 3303,""
449,FINA 3403,Corporate Valuation,3 Credit(s),FINA 3303,FINA 3403H,""
450,FINA 3403H,Honors Corporate Valuation,3 Credit(s),FINA 3303H,FINA 3403,""
451,FINA 3810,Bloomberg Market Concepts Certification,0 Credit(s),"","",""
452,FINA 3820,Thomson Reuters Certification Program,0 Credit(s),FINA 2303,"",""
453,FINA 3830,Thomson Reuters Analytics,0 Credit(s),FINA 3103 and FINA 3820,"",""
454,FINA 4003,Wealth Management,3 Credit(s),FINA 3103,"",""
455,FINA 4103,Financial Markets Trading and Structure,3 Credit(s),FINA 3103 OR FINA 3103H,"",""
456,FINA 4203,"Mergers, Acquisitions, and Corporate Restructuring",3 Credit(s),FINA 3303 OR FINA 3303H,"",""
457,FINA 4303,Fixed Income Securities,3 Credit(s),(FINA 3103 OR FINA 3103H) AND (FINA 3203 OR FINA 3203H),"",""
458,FINA 4403,International Finance,3 Credit(s),FINA 3103 OR FINA 3103H,"",""
459,FINA 4503,Banking and Financial Intermediation,3 Credit(s),FINA 2203 OR FINA 2303,"",""
460,FINA 4603,Venture Capital Financing,3 Credit(s),FINA 3303 OR FINA 3303H,"",""
461,FINA 4713,Valuation and Fund Management,3 Credit(s),ACCT 2010 AND (ECON 2103 OR ECON 2113 OR ECON 2913 (prior to 2013-14)) AND FINA 3103,FINA 5980,""
462,FINA 4803,Quantitative Trading,3 Credit(s),"","FINA 4810, FINA 4814",""
463,FINA 4919,Independent Study,1-4 Credit(s),"","",""
464,FINA 4929,Special Topics in Finance,0-4 Credit(s),"","",""
465,FYTG 4001,Students Interest Driven Project,1-6 Credit(s),"","",""
466,GBUS 1000,Global Leadership Development,0 Credit(s),"","",""
467,GBUS 2010,Global Business Analysis,3 Credit(s),"","",""
468,GBUS 2020,Public Service Project,1 Credit(s),"","",""
469,GBUS 3010,Global Perspectives on Contemporary Issues,3 Credit(s),"","",""
470,GBUS 3020,Integrated Business Case Studies,2 Credit(s),GBUS 2010,"",""
471,GBUS 3030,Global Business Case Studies,4 Credit(s),"","",""
472,GBUS 3040,Doing Business in Asia and Emerging Markets,3 Credit(s),"","",""
473,GBUS 3050,Deal Making in Asia and Emerging Markets,3 Credit(s),"","",""
474,GBUS 4000,Special Topics in Global Business,0-4 Credit(s),"","",""
475,GBUS 4010,Independent Study,1-4 Credit(s),"","",""
476,GBUS 4910,Capstone Project,4 Credit(s),"","",""
477,GNED 2000,Selected Topics in General Education,0-3 Credit(s),"","",""
478,GNED 2510,Career Building,1 Credit(s),"","",""
479,GNED 2710,Service Learning Project,1 Credit(s),"","",""
480,HART 1001,Arts and Creativity,2 Credit(s),"","",""
481,HART 1011,Introduction to Cantonese Opera,1 Credit(s),"","",""
482,HART 1012,Introduction to Photography,1 Credit(s),"","",""
483,HART 1013,Fundamental Technique of Chinese Painting,1 Credit(s),"",HART 1042,""
484,HART 1014,Introduction to Chinese Calligraphy,1 Credit(s),"","",""
485,HART 1015,Introduction to Single-channel Video Art,1 Credit(s),"","",""
486,HART 1016,Introduction to Installation Art,1 Credit(s),"","",""
487,HART 1017,Introduction to Contemporary Dance,1 Credit(s),"","",""
488,HART 1018,Introduction and Appreciation of Chinese Dance,1 Credit(s),"","",""
489,HART 1019,Introduction to Multi-channel Video Art,1 Credit(s),"","",""
490,HART 1020,Introduction to Experimental Drawing,1 Credit(s),"","",""
491,HART 1021,A Contemporary Approach to Painting,1 Credit(s),"","",""
492,HART 1022,Introduction to Acting,1 Credit(s),"","",""
493,HART 1023,Introduction to Experimental Animation,1 Credit(s),"","",""
494,HART 1024,Introduction to Creative Cantonese Playwriting,1 Credit(s),"","",""
495,HART 1025,Introduction to New Topographic Photography,1 Credit(s),"","",""
496,HART 1026,Connecting Acting with Public Speaking,1 Credit(s),"","",""
497,HART 1027,Fundamental Techniques in Stage Movement,1 Credit(s),"","",""
498,HART 1028,Devised Theatre: Contemporary Creative Process for Performance,1 Credit(s),"","",""
499,HART 1029,Multicultural Dramatic Works,1 Credit(s),"","",""
500,HART 1030,Introduction to Chinese Painting in the Past Century,1 Credit(s),"",HART 1042,""
501,HART 1031,Documentary Theatre,1 Credit(s),"","",""
502,HART 1032,Experimental Figure Drawing,1 Credit(s),"","",""
503,HART 1033,The Art and Making of Dance Video,1 Credit(s),"","",""
504,HART 1034,Light and Art,1 Credit(s),"","",""
505,HART 1035,Public Art Interventions,1 Credit(s),"","",""
506,HART 1036,Introduction to Graphic Design,1 Credit(s),"","",""
507,HART 1037,Introduction to Printmaking,1 Credit(s),"","",""
508,HART 1038,Introduction to Portrait Photography,1 Credit(s),"","",""
509,HART 1039,The Art of Narrative in Drama,1 Credit(s),"","",""
510,HART 1040,"Western Fashion, 1850 to Nowadays",1 Credit(s),"","",""
511,HART 1041,Singing on Stage,1 Credit(s),"","",""
512,HART 1042,Ink and Color - Experiencing Chinese Painting,1 Credit(s),"","HART 1013, HART 1030, Level 2 or above in HKDSE Chinese, Score 100 or above in JEE Chinese",""
513,HART 1043,Mask Theater: Exploring Mankind through Masks,1 Credit(s),"","",""
514,HART 1044,Science on Stage,1 Credit(s),"","",""
515,HART 1045,Exploring Puppetry: Creating a Shadow Puppet Production,1 Credit(s),"","",""
516,HLTH 1010,Healthy Lifestyle,0 Credit(s),"","",""
517,HUMA 1000,Cultures and Values,3 Credit(s),"","",""
518,HUMA 1001,Foundational Texts in the Humanities,3 Credit(s),"","",""
519,HUMA 1009,Special Topics,3 Credit(s),"","",""
520,HUMA 1010,Introduction to Language,3 Credit(s),"","",""
521,HUMA 1020,Chinese Writing and Culture,3 Credit(s),"",HUMA 099H,""
522,HUMA 1030,Structure of the Chinese Language,3 Credit(s),"","",""
523,HUMA 1060,Introduction to Mandarin Chinese Grammar,3 Credit(s),"","",""
524,HUMA 1100,Music of the World,3 Credit(s),"","",""
525,HUMA 1102,Enjoyment of Classical Music,3 Credit(s),"",HUMA 1101 (prior to 2012-13),""
526,HUMA 1210,Chinese Women on Screen,3 Credit(s),"","",""
527,HUMA 1231,Popular Culture of East Asia,3 Credit(s),"","",""
528,HUMA 1250,Themes in Literature: Love and Death,3 Credit(s),"","",""
